"condition","condItemOrder","pa","na","lifeHappy","lifeSat","nowHappy","nowUnhappy","nowGood","nowBad","gender","age"
"positive","SatHappy",4,1.33333333333333,7,9,7,1,7,1,1,20
"negative","HappySat",3,1.33333333333333,4,6,5,2,5,2,1,18
"positive","HappySat",3,1,6,8,5,2,5,2,2,19
"negative","SatHappy",3.66666666666667,1,6,9,6,1,6,1,1,20
"negative","HappySat",4,1.33333333333333,6,7,6,2,6,2,1,18
"negative","HappySat",1.33333333333333,1.33333333333333,7,10,4,4,6,2,2,18
"positive","HappySat",3.33333333333333,1.33333333333333,7,9,7,2,7,1,2,20
"negative","HappySat",1.33333333333333,1.66666666666667,4,3,1,5,3,5,1,20
"negative","SatHappy",4.33333333333333,1,6,7,6,2,6,1,1,19
"positive","HappySat",4.33333333333333,1.33333333333333,7,10,7,1,7,1,1,19
"negative","HappySat",3.33333333333333,2.33333333333333,5,3,3,5,5,3,1,22
"positive","SatHappy",3.33333333333333,1,6,7,5,2,6,1,1,20
"negative","SatHappy",3,1,5,6,4,3,5,1,1,18
"positive","HappySat",3,1,5,6,4,2,5,2,2,21
"negative","SatHappy",2.66666666666667,3,6,8,4,4,5,3,2,19
"positive","SatHappy",5,1.33333333333333,7,9,7,1,7,1,1,19
"negative","HappySat",3,1,6,8,6,1,7,1,1,19
"negative","HappySat",2,2,5,7,4,4,5,4,1,19
"negative","SatHappy",2,1.66666666666667,5,5,3,4,3,4,1,18
"negative","SatHappy",3.66666666666667,2,5,8,5,2,5,2,1,18
"positive","SatHappy",3.66666666666667,1.66666666666667,5,5,4,2,5,1,2,18
"negative","SatHappy",4,1,6,8,6,2,6,2,1,18
"negative","SatHappy",1.66666666666667,2,4,6,3,6,3,5,1,21
"negative","HappySat",2.66666666666667,3.33333333333333,3,6,4,3,5,2,2,19
"negative","SatHappy",1,3.33333333333333,4,4,1,6,1,6,2,18
"positive","HappySat",5,1,6,9,7,1,7,1,1,19
"negative","HappySat",3,2,5,4,4,4,2,4,2,23
"positive","HappySat",2.33333333333333,1.33333333333333,3,2,3,5,3,5,2,19
"positive","HappySat",4,2.66666666666667,6,8,6,1,6,1,2,18
"negative","SatHappy",1.66666666666667,3,5,7,4,5,4,5,2,19
"positive","HappySat",2.66666666666667,1.33333333333333,6,7,5,2,5,3,2,18
"negative","SatHappy",3,2.66666666666667,6,8,4,4,4,3,1,18
"positive","SatHappy",3.33333333333333,1.33333333333333,6,9,5,2,5,3,2,18
"positive","SatHappy",3.66666666666667,1,6,8,6,2,6,1,2,21
"positive","SatHappy",4.33333333333333,1.66666666666667,6,9,7,1,7,1,1,18
"positive","HappySat",3.33333333333333,2,5,7,6,3,5,2,1,18
"positive","SatHappy",3.33333333333333,1.66666666666667,5,8,6,2,5,2,1,18
"negative","SatHappy",2.66666666666667,1.66666666666667,6,8,5,3,4,3,1,18
"negative","SatHappy",3.66666666666667,1.33333333333333,5,8,4,2,6,1,1,18
"positive","HappySat",4,1,7,10,7,1,6,1,1,18
"positive","HappySat",4.33333333333333,1,7,10,7,1,7,1,1,20
"positive","HappySat",3,1,6,9,6,2,6,1,2,22
"negative","HappySat",1.33333333333333,2,5,3,4,4,3,4,1,18
"negative","HappySat",4.33333333333333,1.33333333333333,6,7,6,2,6,2,2,21
"positive","HappySat",4.33333333333333,2.33333333333333,5,6,5,2,6,2,1,20
"positive","HappySat",2,2.33333333333333,3,4,3,4,3,4,1,18
"positive","HappySat",4,2,6,8,5,2,6,1,1,18
"positive","SatHappy",4,1.33333333333333,7,9,5,2,7,1,1,18
"positive","SatHappy",1,4.33333333333333,6,3,1,7,1,7,1,21
"positive","SatHappy",2.66666666666667,1,6,8,5,2,5,2,1,18
"negative","HappySat",3,1,6,7,5,3,6,2,1,19
"negative","SatHappy",1.33333333333333,1.66666666666667,4,4,3,5,4,4,1,19
"negative","HappySat",3.33333333333333,1.33333333333333,6,8,6,2,6,2,1,18
"positive","SatHappy",2.66666666666667,1.33333333333333,6,7,5,2,5,2,2,19
"positive","HappySat",3,1.33333333333333,5,7,6,2,7,1,1,18
"positive","SatHappy",2.33333333333333,2,3,6,3,4,3,4,2,18
"negative","HappySat",1.33333333333333,4,3,5,2,5,3,5,2,19
"negative","HappySat",3,2,6,7,5,3,5,3,2,19
"negative","SatHappy",2,3.66666666666667,3,3,3,5,2,6,1,18
"positive","HappySat",3.66666666666667,1.33333333333333,6,7,6,2,5,2,1,18
"positive","HappySat",4.33333333333333,1.33333333333333,6,10,4,2,5,2,NA,NA
"negative","HappySat",2.33333333333333,2.33333333333333,5,4,4,4,4,4,NA,NA
"positive","HappySat",3,1,6,8,6,2,6,2,2,21
"negative","SatHappy",4.66666666666667,1,7,8,6,1,6,1,2,19
"positive","SatHappy",4,1.33333333333333,6,7,5,3,5,3,2,18
"negative","HappySat",4,1.66666666666667,6,7,7,2,6,2,2,24
"positive","HappySat",1,3.33333333333333,5,3,3,4,4,3,1,18
"positive","HappySat",1,3,5,6,1,7,1,7,1,20
"positive","SatHappy",2,1,4,5,1,1,4,1,2,21
"positive","HappySat",4,1,7,10,6,1,7,1,1,21
"positive","SatHappy",4.33333333333333,1,6,8,6,1,6,1,1,21
"negative","SatHappy",2,3.33333333333333,3,3,4,4,5,4,2,21
"positive","SatHappy",4.33333333333333,1.33333333333333,6,8,5,2,6,1,2,20
"negative","HappySat",2,2.33333333333333,4,5,3,5,4,4,1,18
"positive","HappySat",2.66666666666667,1,6,9,4,1,5,1,NA,NA
"negative","SatHappy",4,1.33333333333333,5,8,5,2,5,2,1,20
"negative","HappySat",3.33333333333333,1,6,10,5,2,6,2,2,18
"negative","HappySat",4,2,5,6,6,2,6,4,1,19
"positive","SatHappy",3,1,6,8,5,2,5,2,1,18
"positive","SatHappy",2.66666666666667,2,5,7,4,4,4,4,1,19
"positive","SatHappy",3.33333333333333,1.66666666666667,6,8,5,2,5,2,1,19
"positive","SatHappy",4,3,3,6,5,3,5,3,1,18
"positive","SatHappy",1.33333333333333,2.33333333333333,6,4,2,6,2,6,1,18
"negative","HappySat",4,1.33333333333333,6,8,6,2,7,1,2,19
"negative","SatHappy",3.33333333333333,1.33333333333333,5,7,4,2,5,2,1,37
