"swls","traitPA","traitNA","gender","age","condition","condition2","surveyCond","lifeSat2","lifeHappy1","lifeChange","moodPA","moodNA","drmDayWrong","drmPA","drmNA","daySat"
NA,5.66666666666667,2.66666666666667,2,19,"good",6,"NoQuestions",9,10,4,5,1.33333333333333,0,3.88888888888889,1.11111111111111,7
3.8,2.33333333333333,2.66666666666667,1,18,"good",6,"NoQuestions",5,7,5,3.33333333333333,3,0,3.33333333333333,3.55555555555556,7
NA,3,3,1,21,"bad",5,"Questions",6,5,6,1,1,0,NA,NA,4
NA,3.66666666666667,4,1,19,"bad",5,"Questions",5,6,4,2,4,NA,NA,NA,NA
NA,4.33333333333333,3,1,19,"bad",5,"NoQuestions",8,8,3,3.66666666666667,3,0,3.22222222222222,0.722222222222222,8
NA,5.33333333333333,1.83333333333333,1,19,"good",6,"NoQuestions",8,9,8,4,1.33333333333333,0,3.55555555555556,1.88888888888889,8
3.6,3.33333333333333,3.5,2,18,"bad",5,"Questions",7,7,3,3.33333333333333,2.33333333333333,0,3.33333333333333,1.38888888888889,7
NA,4,2.5,1,18,"good",6,"NoQuestions",8,8,8,3,1,NA,NA,NA,NA
NA,4.66666666666667,3.16666666666667,1,19,"bad",5,"Questions",6,6,5,2.33333333333333,1,NA,NA,NA,NA
NA,4,3.16666666666667,2,19,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0.666666666666667,6
5.4,4.33333333333333,2.5,1,21,NA,NA,NA,NA,NA,NA,NA,NA,0,3.33333333333333,0.722222222222222,7
3.6,4,2.5,1,23,"bad",5,"NoQuestions",8,8,3,3,1.33333333333333,0,2.11111111111111,0.555555555555556,6
6,4,2.83333333333333,1,18,"good",6,"Questions",9,8,9,3.33333333333333,1.66666666666667,1,2.11111111111111,2.88888888888889,5
NA,4.66666666666667,3,1,22,NA,NA,NA,NA,NA,NA,NA,NA,0,2.55555555555556,1.5,7
NA,5.66666666666667,2,2,18,"good",6,"Questions",8,10,9,5,1,0,3.22222222222222,0.166666666666667,6
NA,3,4.16666666666667,1,19,"good",6,"Questions",6,6,2,4,2.33333333333333,NA,NA,NA,NA
4.4,3.66666666666667,3.83333333333333,1,20,"bad",5,"NoQuestions",7,5,6,4,2.66666666666667,NA,NA,NA,NA
5.8,4,3.16666666666667,1,18,"good",6,"Questions",8,8,3,3,1,NA,NA,NA,NA
5,5,2.16666666666667,2,20,"good",6,"NoQuestions",10,10,4,4.33333333333333,1.66666666666667,0,3.77777777777778,3.16666666666667,7
NA,4,3,2,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,4.33333333333333,2.5,1,19,"bad",5,"NoQuestions",9,9,9,4,1.33333333333333,NA,NA,NA,NA
NA,2.66666666666667,3.83333333333333,1,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,4,2.33333333333333,1,18,"bad",5,"NoQuestions",9,9,7,4,1,0,1.88888888888889,1.83333333333333,7
NA,5.33333333333333,1.66666666666667,2,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,5,3.16666666666667,1,19,"bad",5,"NoQuestions",10,10,9,5,1.33333333333333,0,4,0.833333333333333,10
6.8,4.66666666666667,2,1,18,"good",6,"Questions",10,10,10,4.66666666666667,1.33333333333333,0,3.66666666666667,1.44444444444444,10
NA,4.66666666666667,3,1,19,"bad",5,"Questions",8,8,3,5,1.33333333333333,0,2.88888888888889,2.44444444444444,6
NA,3.66666666666667,2.83333333333333,1,18,NA,NA,NA,NA,NA,NA,NA,NA,0,2.55555555555556,0.222222222222222,8
6.2,5,5,1,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,4.66666666666667,2.33333333333333,1,21,"bad",5,"NoQuestions",7,7,8,3.66666666666667,1,0,3.22222222222222,0.277777777777778,7
NA,4.33333333333333,2.5,2,18,"bad",5,"NoQuestions",7,8,6,3,2.33333333333333,0,NA,NA,8
NA,4,3.83333333333333,1,18,"bad",5,"NoQuestions",9,10,9,5,1.33333333333333,NA,NA,NA,NA
NA,4,3.33333333333333,1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.4,4.66666666666667,2.5,1,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,3.33333333333333,3.5,2,22,"good",6,"NoQuestions",7,7,6,2,1.33333333333333,0,3.22222222222222,3.47777777777778,5
NA,3,3,2,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.2,4,3.16666666666667,1,19,NA,NA,NA,NA,NA,NA,NA,NA,0,1.33333333333333,3.61111111111111,3
4,3,3,1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,4.66666666666667,2.5,1,22,"bad",5,"Questions",6,7,9,2.66666666666667,2.33333333333333,0,3.22222222222222,1.66666666666667,6
4.4,4.33333333333333,3.16666666666667,1,19,"bad",5,"Questions",7,7,6,4,1.33333333333333,0,4,2.5,5
5.4,5,2.66666666666667,1,21,"bad",5,"Questions",7,7,8,3,1.33333333333333,NA,NA,NA,NA
4,5.5,2.83333333333333,1,22,"good",6,"NoQuestions",6,6,3,4,1.33333333333333,0,3.44444444444444,0.722222222222222,8
5.8,4.66666666666667,3,1,21,"bad",5,"Questions",8,8,7,4,1.66666666666667,NA,NA,NA,NA
NA,4.66666666666667,2.5,1,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,5.66666666666667,3.16666666666667,1,20,"good",6,"NoQuestions",8,8,7,1,5,0,2.22222222222222,3,0
NA,4.33333333333333,4.16666666666667,1,19,"good",6,"NoQuestions",9,8,8,4,1.33333333333333,0,3.66666666666667,1.5,8
6.2,3.33333333333333,1.83333333333333,1,19,"bad",5,"Questions",9,9,2,4,1,0,3.44444444444444,0.666666666666667,10
NA,5.66666666666667,1,2,18,"bad",5,"Questions",9,9,8,3.66666666666667,4,0,4,0.5,10
4.6,4,3.33333333333333,2,19,"bad",5,"Questions",7,7,6,3,1.33333333333333,NA,NA,NA,NA
NA,3.33333333333333,4.16666666666667,1,19,"good",6,"Questions",5,4,4,3,3.66666666666667,0,1.33333333333333,2.11111111111111,4
NA,4.33333333333333,4.16666666666667,1,19,NA,NA,NA,NA,NA,NA,NA,NA,0,2.66666666666667,3.66666666666667,4
6,4.33333333333333,1.8,1,18,"bad",5,"Questions",9,9,9,3,1.33333333333333,0,1,0,8
5.2,4,4,1,18,"bad",5,"NoQuestions",7,8,6,3,1.33333333333333,0,2.33333333333333,0.777777777777778,7
NA,4,3.66666666666667,1,19,"good",6,"Questions",3,3,2,3.33333333333333,3.66666666666667,0,2.88888888888889,3.61111111111111,3
4.6,4.33333333333333,2.33333333333333,1,21,NA,NA,NA,NA,NA,NA,NA,NA,0,2.66666666666667,0.888888888888889,7
NA,4,2.16666666666667,1,23,"good",6,"NoQuestions",8,8,7,2.66666666666667,1.33333333333333,0,2.77777777777778,0.888888888888889,6
NA,NA,NA,NA,NA,"bad",5,"NoQuestions",7,7,7,4,1.33333333333333,0,2.55555555555556,0.222222222222222,8
4,4.33333333333333,2.66666666666667,1,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,4.33333333333333,3.66666666666667,1,20,"bad",5,"NoQuestions",7,9,3,4,2.33333333333333,0,4.33333333333333,3,7
3.2,2.66666666666667,3.5,1,20,NA,NA,NA,NA,NA,NA,NA,NA,0,2.11111111111111,2.55555555555556,4
NA,4.66666666666667,3,1,19,"bad",5,"Questions",8,7,7,2.33333333333333,1,0,0.444444444444444,0.5,6
5.8,4.66666666666667,3.16666666666667,1,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.4,5.33333333333333,3.33333333333333,1,19,NA,NA,NA,NA,NA,NA,NA,NA,0,5.88888888888889,0.388888888888889,10
6,4.66666666666667,1.83333333333333,2,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,5,1.83333333333333,1,21,"bad",5,"NoQuestions",8,9,6,4,1.33333333333333,0,3.11111111111111,0.722222222222222,9
NA,3.33333333333333,4,1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,3.66666666666667,2.33333333333333,1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,3.66666666666667,3,1,20,"bad",5,"Questions",4,4,2,1.66666666666667,2.66666666666667,0,2.55555555555556,1.44444444444444,4
3.8,3.66666666666667,2.5,1,21,"good",6,"NoQuestions",7,7,3,1.66666666666667,3.66666666666667,0,2.66666666666667,2.54444444444444,8
NA,4.33333333333333,2.83333333333333,1,19,NA,NA,NA,NA,NA,NA,NA,NA,0,3.33333333333333,1.22222222222222,8
3.4,3.66666666666667,3.5,1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
