"condition","condItemOrder","pa","na","lifeHappy","lifeSat","nowHappy","nowUnhappy","nowGood","nowBad","gender","age"
"negative","HappySat",2.66666666666667,1.33333333333333,5,8,5,3,4,3,1,18
"negative","HappySat",1,3.66666666666667,2,1,3,5,NA,5,1,21
"negative","HappySat",3,2,5,7,5,3,5,3,1,19
"positive","SatHappy",3.33333333333333,2.33333333333333,5,6,4,3,4,2,1,20
"positive","SatHappy",3,1.33333333333333,6,8,4,4,5,3,2,18
"negative","SatHappy",2,3.33333333333333,3,5,3,5,3,5,1,18
"positive","HappySat",3,2.66666666666667,7,6,4,6,4,6,1,20
"negative","SatHappy",2.66666666666667,1.66666666666667,6,8,5,1,5,4,1,18
"negative","HappySat",4,1,6,10,6,1,7,1,1,20
"positive","SatHappy",4,2.33333333333333,5,7,6,3,5,3,1,18
"positive","SatHappy",3,1.33333333333333,5,8,6,2,6,1,2,18
"negative","SatHappy",2.33333333333333,2.66666666666667,4,7,3,6,4,4,1,18
"negative","SatHappy",4,2,6,8,6,2,6,2,1,20
"negative","SatHappy",2,2.33333333333333,4,6,5,3,5,2,2,19
"positive","HappySat",1.66666666666667,1,7,7,5,1,4,1,1,19
"positive","HappySat",4,1.33333333333333,6,9,7,1,6,2,1,19
"negative","HappySat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"negative","SatHappy",4.33333333333333,1,7,10,6,1,6,2,2,21
"positive","HappySat",2,2.33333333333333,5,6,4,3,4,3,1,20
"positive","SatHappy",3.66666666666667,1.33333333333333,6,8,5,2,6,2,2,22
"negative","SatHappy",2.66666666666667,1.33333333333333,6,7,6,2,5,2,NA,NA
"negative","HappySat",4,1,5,7,6,1,6,1,1,21
"positive","SatHappy",3,1.66666666666667,6,8,5,2,5,3,1,21
"positive","HappySat",3.33333333333333,1.66666666666667,6,8,6,3,5,2,1,18
"negative","SatHappy",3,2.33333333333333,6,8,6,3,5,2,1,18
"negative","HappySat",3.66666666666667,3.33333333333333,5,7,4,5,5,3,1,20
"negative","HappySat",3.33333333333333,2,5,7,5,2,6,2,1,19
"negative","SatHappy",4.33333333333333,1,7,9,7,1,7,1,2,18
"negative","SatHappy",1.33333333333333,3,6,6,4,5,3,3,2,20
"positive","HappySat",3.33333333333333,1,5,8,4,4,4,4,1,19
"positive","SatHappy",2,4.33333333333333,6,7,5,3,5,3,1,18
"negative","HappySat",1,2,5,7,2,5,2,6,1,20
"negative","SatHappy",2,4,6,9,3,5,4,4,1,18
"positive","SatHappy",3,3.33333333333333,5,7,2,6,3,5,2,18
"positive","HappySat",2.33333333333333,1.33333333333333,6,8,4,4,4,4,2,21
"positive","SatHappy",4,1,6,8,6,1,6,1,2,19
"negative","SatHappy",4,1.33333333333333,5,8,5,2,6,1,1,18
"negative","HappySat",3.33333333333333,1.66666666666667,5,8,6,2,6,2,1,18
"negative","SatHappy",4,1.33333333333333,6,9,5,2,6,2,1,18
"negative","SatHappy",2,1.66666666666667,5,7,4,5,3,4,1,19
"negative","HappySat",2,3.33333333333333,3,6,2,5,2,5,1,18
"negative","SatHappy",2.66666666666667,2.33333333333333,7,10,4,3,5,1,1,22
"negative","SatHappy",1.66666666666667,2.33333333333333,5,6,4,4,5,4,1,18
"positive","HappySat",3,2.33333333333333,5,8,5,2,6,2,1,18
"positive","SatHappy",1.33333333333333,3,5,6,3,5,3,5,2,19
"positive","HappySat",3.33333333333333,1.33333333333333,5,7,4,3,5,2,1,18
"negative","HappySat",3,2.66666666666667,5,8,4,3,4,4,1,18
"positive","SatHappy",2.66666666666667,1,5,7,5,2,6,1,1,19
"positive","HappySat",2,4,5,7,2,6,2,6,1,21
"positive","HappySat",2.66666666666667,1,6,5,6,2,6,2,2,18
"negative","HappySat",1,4.33333333333333,2,2,1,7,1,7,1,18
"positive","HappySat",4,1,5,9,6,1,6,1,1,18
"negative","HappySat",3.33333333333333,2.33333333333333,6,6,5,2,4,1,1,18
